Index,State,2019 - No.EV Charge Stations,2019 - No. EV charge outlets
3,Alabama,195,506
5,Alaska,19,34
7,Arizona,522,"1,476"
9,Arkansas,98,290
11,California,"6,435","27,128"
13,Colorado,861,"2,516"
15,Connecticut,422,"1,048"
17,Delaware,57,172
19,District of Columbia,172,553
21,Florida,"1,562","4,562"
23,Georgia,882,"2,939"
25,Hawaii,296,666
27,Idaho,95,216
29,Illinois,663,"1,864"
31,Indiana,239,614
33,Iowa,141,348
35,Kansas,234,904
37,Kentucky,133,315
39,Louisiana,107,293
41,Maine,184,433
43,Maryland,738,"2,110"
45,Massachusetts,811,"2,455"
47,Michigan,616,"1,429"
49,Minnesota,380,"1,051"
51,Mississippi,81,292
53,Missouri,452,"1,895"
55,Montana,55,137
57,Nebraska,95,238
59,Nevada,284,927
61,New Hampshire,121,244
63,New Jersey,457,"1,297"
65,New Mexico,82,245
67,New York,"1,655","4,531"
69,North Carolina,732,"1,903"
71,North Dakota,28,46
73,Ohio,540,"1,342"
75,Oklahoma,131,309
77,Oregon,721,"1,893"
79,Pennsylvania,572,"1,475"
81,Rhode Island,113,407
83,South Carolina,286,643
85,South Dakota,41,127
87,Tennessee,453,"1,207"
89,Texas,"1,376","4,009"
91,Utah,289,950
93,Vermont,237,664
95,Virginia,710,"2,056"
97,Washington,"1,095","3,206"
99,West Virginia,89,244
101,Wisconsin,345,711
103,Wyoming,57,159
