Index,State,2020 - No.EV Charge Stations,2020 - No. EV charge outlets
3,Alabama,223,596
5,Alaska,25,45
7,Arizona,574,"1,778"
9,Arkansas,112,350
11,California,"7,671","34,622"
13,Colorado,"1,062","3,234"
15,Connecticut,456,"1,240"
17,Delaware,70,206
19,District of Columbia,190,701
21,Florida,"1,822","5,519"
23,Georgia,"1,008","3,645"
25,Hawaii,320,760
27,Idaho,113,281
29,Illinois,805,"2,351"
31,Indiana,282,784
33,Iowa,187,486
35,Kansas,246,950
37,Kentucky,168,383
39,Louisiana,141,360
41,Maine,220,518
43,Maryland,880,"2,767"
45,Massachusetts,"1,033","3,406"
47,Michigan,628,"1,598"
49,Minnesota,445,"1,218"
51,Mississippi,105,344
53,Missouri,508,"2,060"
55,Montana,65,188
57,Nebraska,116,287
59,Nevada,298,"1,162"
61,New Hampshire,131,291
63,New Jersey,558,"1,651"
65,New Mexico,119,374
67,New York,"2,031","6,092"
69,North Carolina,822,"2,267"
71,North Dakota,38,101
73,Ohio,654,"1,840"
75,Oklahoma,263,693
77,Oregon,743,"2,117"
79,Pennsylvania,759,"2,048"
81,Rhode Island,148,550
83,South Carolina,305,727
85,South Dakota,45,133
87,Tennessee,493,"1,341"
89,Texas,"1,577","4,802"
91,Utah,446,"1,617"
93,Vermont,266,797
95,Virginia,808,"2,504"
97,Washington,"1,224","3,771"
99,West Virginia,93,258
101,Wisconsin,381,829
103,Wyoming,61,172
